"question","answer"
"Giới thiệu Công ty Y dược VHN.
Năm thành lập.","Công ty Cổ phần Xuất nhập khẩu và Phân phối sản phẩm Y Dược VHN được thành lập từ năm 2017.
Được kiến tạo trên nền tảng của những giá trị nhân văn, nên yếu tố con người luôn được đề cao.
Mọi hoạt động và sự vận hành của công ty dựa trên lợi ích khách hàng tôn trọng đối tác và quyền lợi của nhân viên.
VHN là Đơn vị nhập khẩu và phân phối dược mỹ phẩm, thực phẩm bảo vệ sức khỏe uy tín tại Việt Nam
Thiết kế giải pháp da liều toàn diện trong da liễu thẩm mỹ
Đơn vị cam kết đồng hành với khách hàng - Cung cấp các giải pháp trọn gói Edu & MKT"
"Điểm mạnh của VHN.
Đặt điểm nổi bật của VHN.","Lượng tiêu thụ sản phẩm lớn, trung bình đạt 200 tỷ/năm
Data khách hàng lớn gồm các Bệnh viện, Spa, Clinic, nhà thuốc và data khách hàng tăng đều hàng năm.
Nhân sự: Đội ngũ nhân sự trẻ, nhiệt tình, năng động
Cơ chế mở: Tạo nhiều cơ chế về kinh tế để thu hút các nhân sự tiềm năng
Được hỗ trợ 24/7 từ rất nhiều bác sĩ giỏi và có sức ảnh hưởng trong ngành da liễu"
"Lĩnh vực hoạt động của Y dược VHN.","Phân phối dược mỹ phẩm, thực phẩm bảo vệ sức khỏe cho hệ thống các bệnh viện, thẩm mỹ viện, spa, clinic, nhà thuốc."
"Tầm nhìn của VHN.","Tầm nhìn: Đưa các sản phẩm điều trị, chăm sóc da và cải thiện sức khỏe, sắc đẹp chất lượng cao đến mọi miền tổ quốc."
"Sứ mệnh của VHN.","Mang đến những sản phẩm và giải pháp diều trị, chăm sóc sức khỏe làn da bằng công nghệ tiên tiến. Luôn nỗ lực là người đi đầu trong lĩnh vực điều trị và chăm sóc sức khỏe làn da."
"Giá trị cốt lõi VHN.","Nhân: Biết người, biết ta và biết chúng sinh để từ đó biết yêu thương và thông cảm cho mọi người.
Nghĩa: Quên đi cái tôi vị tư, là vị tha, luôn nghĩ tới lợi ích của người khác trước. Lấy thành công của khách hàng là thành công của doanh nghiệp, thành công của từng cá nhân là thành công của tập thể.
Lễ: Làm việc trên cơ sở tôn trọng nhau, biết trên biết dưới, biết đóng góp để cùng nhau phát huy ưu điểm, hạn chế khuyết điểm.
Trí: Phải lý trí, phải sáng suốt và phải thông tuệ, không vì lợi ích mà bán rẽ uy tín, nhân cách bản thân.
Tín: Phải luôn giữ uy tín, không được gian dối, phải giữ dược lòng tin với khách hàng, với nhân viên và với cộng đồng."
"Hệ thống thương hiệu phân phối.","Y dược VHN độc quyền 7 thương hiệu Dược mỹ phẩm tiêu chuẩn quốc tế:
1. Christina (Israel)
2. Ivatherm (Pháp)
3. SRS Mesotherapy (Bỉ)
4. Floslek (Ba Lan)
5. Pharmalife (Italia)
6. Dermoaroma (Italia)
7. Préime DermaCeuticals"
"Thông tin liên hệ.
Hotline.
Số điện thoại.
Email.
Website.
Văn phòng.","Hotline: 0941 905 885
Email: truongphongmarketing@vhndistribution.com
Website: vhndistribution.com
Văn phòng Sài Gòn: Tầng 5A số 407 Tô Hiến Thành, Phường 14, Quận 10, TP. Hồ Chí Minh
Văn phòng Hà Nội: Số 14 Láng Hạ, Phường Thành công, Quận Ba Đình, Hà nội"
"Hành trình nâng cao kiến thức cùng Thiên Phúc Education.","TRẠM DỪNG 1: Giới thiệu bức tranh tổng thể giải pháp thay mới làn da Y Dược VHN.
TRẠM DỪNG 2: Đào tạo cầm tay chỉ việc - ứng dụng giải pháp cá nhân hóa cho từng đại lý.
TRẠM DỪNG 3: Thiết kế cá nhân hóa – Đào tạo kỹ năng message.
TRẠM DỪNG 4: Kỹ năng tư vấn chuyên nghiệp ngành hàng làm đẹp."
"Hệ thống đại lý VHN.","Hệ thống đại lý của VHN trải khắp 63 tình thành:
- 60/421 bệnh viện công
- 50/145 bệnh viện tư
- 2000/12000 nhà thuốc
- 50/2300 phòng khám da
- 1300 spa làm đẹp
Trong đó, 
Hệ thống bệnh viện: Bệnh viện Da Liễu Trung ương, Bệnh viện Da Liễu Hà Nội, Bệnh viện Da Liễu TP. Hồ Chí Minh, Bệnh viện Nhi Trung ương, Bệnh viện Trung ương Quân đội 108,...
Hệ thống nhà thuốc: Nhà thuốc Pharmacity, Nhà thuốc Tây Bắc - Hòa Bình, Nhà thuốc Phương Chính - Hà Nội, Nhà thuốc Á Đông - Hà Nam, Nhà thuốc Hà Bắc - Bắc Ninh,...
Khách hàng Spa nổi tiếng: Bich Nguyet Beauty Clinic, Shynh Premium, Q'Art Beauty, Seoul Center, Saigon Smile Spa, Bệnh viện Thẩm Mỹ Gangwhoo, Van Anh Luxury Clinic & Garden Spa,..."
"Hoạt động hỗ trợ khách hàng của VHN.","Hoạt động online: Công ty Y Dược VHN hỗ trợ các bài post social (fanpage, website, app, youtube, insta, tiktok...) nội dung và hình ảnh, video về sản phẩm; nội dung và hình ảnh về sự kiện giữa đối tác, khách hàng và Y Dược VHN.; Hỗ trợ hoạt động livestream, zoom đào tạo...
Hoạt động offline: Hỗ trợ thực hiện các ấn phẩm truyền thông offline như standee, brochure, backdrop, tranh kính, tờ rơi,...; Hỗ trợ đào tạo trải nghiệm dịch vụ khách hàng trọn vẹn bởi chuyên gia/bác sĩ da liễu đầu ngành; Tổ chức nhiều chương trình hội thảo, workshop cập nhật kiến thức mới trong ngành; Demo, training nghiệp vụ cho khách hàng."
"Đặc trưng riêng của các sản phẩm Christina là gì? Hoạt chất, công nghệ ?","1. Luôn tiên phong trong ngành trị liệu & chăm sóc da, tìm ra các công nghệ, giải pháp chăm sóc da mới, tiên tiến và hiệu quả: từ sự phát minh ra Zaatar Cream vào năm 1982, loại kem được trường đại học Ben-Gurion đưa vào xuất bản là loại kem kỳ diệu với 3 khả năng: làm dịu, chống oxy hóa, chống viêm. Đến sự ra đời của một trong những sản phẩm chứa HA đầu tiên trên thế giới TheraSkin HA Line Repair…
2. Công thức thành phần lấy Peptide - hoạt chất vàng trong tái tạo da làm trung tâm, có mặt trong tất cả các dòng sản phẩm, mang lại hiệu quả RÕ RỆT.
3. Thương hiệu đa dạng, đáp ứng được nhu cầu chăm sóc da của phụ nữ ở mọi lứa tuổi.
4. Là thương hiệu được ưa chuộng và tin dùng bởi những quốc gia đi đầu về công nghệ làm đẹp trên thế giới (như Hàn Quốc, Nhật Bản, Nga, Mỹ): bởi tính trị liệu rõ rệt, an toàn cho làn da.
5. Giải pháp tái sinh làn da - niềm kiêu hãnh từ nhãn hàng Christina: Rose De Mer, mang đến sự thay mới, trẻ hóa da hơn cả mong đợi…"
"Nhãn hàng Christina đã phân phối ở những đâu?","Hiện nhãn hàng Christina tại Việt Nam đang được tin dùng tại hơn 2000 đối tác là các bệnh viện da liễu, phòng chăm sóc da của các bệnh viện, phòng khám da liễu, thẩm mỹ viện, spa, clinic uy tín trên toàn quốc.
Một số đối tác lớn như: Bệnh viện Da liễu trung ương, Bệnh viện da liễu Hà Nội, Bệnh viện 108, Bệnh viện da liễu Sài Gòn, Saigon Smile Spa, Trung tâm thẩm mỹ Vinmec, Viện Thẩm Mỹ DIVA, Shynh House & Shynh Premium, Hệ thống bệnh viện thẩm mỹ Seoul..."
"Trong các bước trị liệu của Christina có sản phẩm peel da, vậy sản phẩm peel này có gây bong tróc cho da và sử dụng nhiều có khiến biểu bì da bị ảnh hưởng không?","- Sản phẩm Christina tại Việt Nam hiện gồm 8 dòng hàng điều trị cho các vấn đề da khác nhau từ thanh lọc, thải độc, cân bằng da, điều trị mụn, sạm, nám... cho đến da lão hoá hoá. Trong đó có 9 dòng hàng gồm Biophyto, Comodex, Illustrious, Unstress, Muse, Chateau De Beauté, Forever Young, Line repair, Rose De Mer giúp chăm sóc và điều trị da, có các sản phẩm peel da nhằm mục đích loại bỏ lớp sừng, tế bào chết trên bề mặt da cải thiện các vấn đề trên bề mặt, giúp da mịn màng, đều màu và căng bóng hơn. Với nồng độ hoạt chất tối ưu trị liệu trong sản phẩm peel của Christina có thể thực hiện trị liệu hàng tuần mà không gây bong tróc hay mỏng da. Với việc làn da được làm sạch sâu và thanh lọc sẽ giúp da tăng khả năng tái tạo, khả năng hấp thụ hoạt chất cần thiết, từ đó làm tăng hiệu quả điều trị, đem lại sự đổi mới cho làn da ngay sau mỗi lần thực hiện trị liệu.
- Ngoài ra, bộ sản phẩm Rose De Mer là dòng sản phẩm thay da sinh học giúp tái tạo, trẻ hoá làn da, điều trị nhiều vấn đề da cùng lúc như da dày sừng, thô sần, bít tắc, thâm mụn, sẹo mụn mới … vì thế, sản phẩm này sẽ khiến da bong nhẹ trong khoảng từ 3-5 ngày tuỳ cơ địa từng người và thực hiện trị liệu thay da từ 4-6 tuần/ lần hoặc theo phác đồ của chuyên gia."
"Tại sao các sản phẩm massage của Christina sau khi sử dụng đều không lau đi?","Các sản phẩm massage của Christina ngoài công dụng là 1 bước thư giãn trong quá trình chăm sóc da, còn chứa những thành phần hoạt chất cần thiết trong quá trình trị liệu và cải thiện làn da. Chính vì vậy các bước massage của sản phẩm Christina sẽ được hấp thụ hoàn toàn vào da trong quá trình thực hiện và không cần lau đi."
"Tính an toàn của các sản phẩm Christina?","- Sản phẩm của Christina không thử nghiệm trên động vật.
- Sản phẩm không có chứa gluten, dầu khoáng, Paraben, SLS, propylene glycol, EDTA.
- Không chất tạo màu, tạo mùi.
- Bên cạnh các thành phần từ thực vật sẽ kết hợp các thành phần tổng hợp an toàn đã được kiểm định để mang lại hiệu quả cao (ví dụ như Retinol, Salicylic acid, ...)"
"Thành phần chính của bộ sản phẩm Rose De Mer là gì? Công dụng của các thành phần này là gì?","Bộ sản phẩm thay da sinh học Rose De Mer gồm 3 thành phần chính: 
- Chất silicat: được tìm thấy trong san hô, và giống như các mũi kim thu nhỏ, đi sâu vào trong da giúp kích thích tái tạo da, tăng tuần hoàn và trao đổi chất.
- Các thực vật biển từ biển đỏ: loại chất chống oxy hóa, giúp tái sinh tế bào mới và đào thải độc tố qua da.
- Muối và khoáng chất từ biển chết: tăng tái tạo chữa lành da và biểu mô, tăng cường kích thích bong tế bào sừng và hiệu quả thay da nhờ việc hấp thu nước, làm khô da tự nhiên."
